keyword,tanggal,username,name,tweet,hashtags,location,source
indihome,2020-10-02 11:06:53,IndiHome,IndiHome,"@bittersweetoreo Siap Kak Nabilla, DM nya sudah dibantu respon oleh rekan Jingga ya. Silakan dicek kembali Kak.  -Jingga",[],,IndiHomeDigitalMedia
indihome,2020-10-02 11:06:51,spicyramen____,spicyramen,"@IndiHome iya kak, ini kendalanya rutin terjadi, sesaat normal terus beberapa hari kejadian lagi, waktunya random kadang siang kadang malam hari, tadi sudah ditelfon teknisi besok ada kunjungan ketempat saya, semoga ada solusi @IndiHome cc: @erickthohir",[],,Twitter for iPhone
indihome,2020-10-02 11:06:27,IndiHome,IndiHome,"@nvladty_ Malam Kak Noval, mengenai keluhannya sudah Wisnu bantu laporkan dengan nomor tiket IN 76 80 71 99. Bila memang diperlukan konfirmasi maka Kakak akan dihubungi di nomor Hp dengan akhiran 36 37. Mohon menunggu prosesnya ya Kak. Terima kasih -Wisnu",[],,IndiHomeDigitalMedia
indihome,2020-10-02 11:05:53,IndiHome,IndiHome,"@W_arimukti Hai Kak Wisnu, terkait kendalanya silakan informasikan alamat lengkap melalui DM guna kami bantu pengecekan ketersediaan jaringannya ya Kak. Terima kasih -Ferdian",[],,IndiHomeDigitalMedia
indihome,2020-10-02 11:05:53,pipitcuit82,Pipit,"@IndiHome 1. SLA nya kan 3x24jam tuh pemasangan nya. Sy konfirmasi pemasangan pd 30/9 jam 10:18
Seharusnya besok jam 10:18 adl batas maksimal kesabaran sy.
Sampe sy cm dpt jawaban ""masih diusahakan"" maka sy anggap kalian nda niat dpt pelanggan
2. Nomor sy daftarkan 2 biji gaes!",[],Surabaya,Twitter for Android
indihome,2020-10-02 11:05:31,mirantidwf,MIRA 🦄,"Hallo @IndiHome mohon cek DM ya, terimakasih 🙏",[],Banjarmasin,Twitter for Android
indihome,2020-10-02 11:04:11,ardityaystn,arsaputra,Anjim kalo akhir bulan belom bayar kok lemot e ra umum @IndiHome sabar to heuu,[],"ÜT: -7.69326,110.60635",Twitter for iPhone
indihome,2020-10-02 11:04:04,kinoiboy,Skycruiser,@IndiHome min koneksi 20 mbps turun jadi 10 mbps. Cek dm ya min. https://t.co/s8encMA81f,[],,Twitter for iPhone
indihome,2020-10-02 11:03:52,agusfirmans_,agusfirmans_,@L_Lham7 @EpsSuep anak indihome ini,[],"setiabudi, Bandung Indonesia",Twitter for Android
indihome,2020-10-02 11:03:39,IndiHome,IndiHome,@DenayJR_ @bywetri ternet dan no. HP aktifnya lewat DM Kak. Terima kasih -Nio(2/2),[],,IndiHomeDigitalMedia
