keyword,tanggal,username,name,tweet,total retweet,total like,url ID,location,source
omnibuslaw,2020-10-11 02:59:32,jatmikoWwidodo,Jatmikowahyuwidodo,Ini bulan agustus lalu demo tolak omnibuslaw juga dibubarin warga jogja video ngerekam sendiri Eh langsung diserbu sama akun2 bajerRp esjewe yg langsung nuduh video itu hoaks cek reply Setelah beritanya kluar di media esjewe2 pada kabur,1,0,https://twitter.com/twitter/statuses/1315124846959816705,Indonesia,Twitter Web App
omnibuslaw,2020-10-11 02:59:10,Rizky8421,Penghianatan G30S PKI,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315124757784793089,,Twitter for Android
omnibuslaw,2020-10-11 02:59:09,anindyastina,nee,males kamulo nolak omnibuslaw jadi kamu bukan pemilik modal,0,0,https://twitter.com/twitter/statuses/1315124753271713793,031,Twitter Web App
omnibuslaw,2020-10-11 02:59:09,sjahrilmaisjah,Sjahril Rohim,Gais tlg viralkan Teman2ku ini dipukuli sama oknum polisi Demo OmnibusLaw PolisiAnarkis,14348,25383,https://twitter.com/twitter/statuses/1315124753020014592,Sepanjang Jalan Fana,Twitter for Android
omnibuslaw,2020-10-11 02:59:07,8UkXK3beBNDzo4v,%7^mZGb9pPPo%AnVbddbRmXmcwxKV8%#SwBwjiVu4HWyXa$c#&,Siapa Aktor di Balik OmnibusLaw Pembahasan dan pengesahan Omnibus Law yg super kilat senyap terdapat sejumlah aktor yang bermain tersebar di Satgas dan Panja DPR UU Cilaka Orang orang ini terafiliasi ke sejumlah bisnis tambang amp energi sebuah utas MosiTidakPercaya,2091,2625,https://twitter.com/twitter/statuses/1315124745008902144,,Twitter Web App
omnibuslaw,2020-10-11 02:58:48,Faatmmawa,Fatmawati Agustina,Really Udah ngerasain efek omnibuslaw duluan ya wen But SEMANGAT beb,0,0,https://twitter.com/twitter/statuses/1315124666101456896,Indonesia,Twitter for Android
omnibuslaw,2020-10-11 02:58:46,nuvosioo,rori,44 persen tubuh kepulauan Indonesia sudah dikuasai pertambangan darat hingga perairan Sekarang diselipkan 2 pasal baru di OmnibusLaw pasal 128A yg banting diskon royalti 0 utk pengusaha batubara dan pasal 47A bonus pemanfaatan ruang laut jg utk batubara MosiTidakPercaya,217,360,https://twitter.com/twitter/statuses/1315124655418605573,"kediri, indonesia, east java",Twitter for Android
omnibuslaw,2020-10-11 02:58:41,VanBast89918747,Van Basten,Pak bilang ketika uu omnibuslaw di sah kan di paripurna World bank telepon beliau dan apresiasi indonesia World bank sudah apresiasi berarti mereka sudah memiliki uu nya yang valid Tp banyak anggota dpr belum punya draft finalnya Kok bisa y,0,0,https://twitter.com/twitter/statuses/1315124635831136257,,Twitter for Android
omnibuslaw,2020-10-11 02:58:21,rasamerica,ikan hiu,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124552838467584,,Twitter for Android
omnibuslaw,2020-10-11 02:58:09,MurtadhaOne1,ꦩꦸꦂꦠꦝ,Ini bulan agustus lalu demo tolak omnibuslaw juga dibubarin warga jogja video ngerekam sendiri Eh langsung diserbu sama akun2 bajerRp esjewe yg langsung nuduh video itu hoaks cek reply Setelah beritanya kluar di media esjewe2 pada kabur,1,0,https://twitter.com/twitter/statuses/1315124502045442048,,Twitter Web App
